"location","max_infection_count","population","max_infection_rate"
"South Sudan",12010.000,11381377.000,0.106
"Nigeria",205779.000,211400704.000,0.097
"New Zealand",4292.000,4860642.000,0.088
"Sudan",38283.000,44909351.000,0.085
"Sierra Leone",6394.000,8141343.000,0.079
"Mali",15219.000,20855724.000,0.073
"Taiwan",16223.000,23855008.000,0.068
"Burkina Faso",14243.000,21497097.000,0.066
"Democratic Republic of Congo",56937.000,92377986.000,0.062
"Yemen",9067.000,30490639.000,0.030
"Chad",5038.000,16914985.000,0.030
"Palau",5.000,18174.000,0.028
"Niger",6008.000,25130810.000,0.024
"China",96233.000,1444216102.000,0.007
"Marshall Islands",4.000,59618.000,0.007
"Solomon Islands",20.000,703995.000,0.003
"Tanzania",1367.000,61498438.000,0.002
"Kiribati",2.000,121388.000,0.002
"Vanuatu",4.000,314464.000,0.001
"Micronesia (country)",1.000,116255.000,0.001
"Samoa",3.000,200144.000,0.001
